"UserID","SPSS_Regio5","RESP_GEM_GROOTTE","BAS_huishoudgrootte","GenderID","Age","BAS_werkzaamheid_resp","BAS_bruto_jaarinkomen","afg_kinderen_huishouden","AFG_sk2015","BAS_voltooide_opleiding8_resp","SPSS_Lifestage"
9558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,6,1,1,59,2,2,0,5,2,2
2,3,3,2,2,47,2,7,0,2,6,4
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,4,5,1,41,2,5,3,1,4,6
5,4,5,4,1,43,2,5,2,2,6,6
6,2,6,1,1,77,7,2,0,5,3,2
7,4,4,4,1,49,2,5,2,2,7,6
8,4,6,3,1,68,7,3,2,4,4,8
9,5,4,3,1,35,2,5,1,1,8,5
8829,4,5,3,1,51,3,3,1,3,4,8
10,4,5,3,1,51,3,3,1,3,4,8
7280,4,5,3,1,51,3,3,1,3,4,8
11,4,4,5,1,44,2,6,3,1,7,6
12,2,4,2,1,47,3,3,0,1,6,4
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2,6,4,1,49,2,7,2,1,8,6
15,3,6,1,2,25,4,1,0,5,3,1
16,5,6,4,1,49,1,6,1,1,7,8
7282,4,5,3,2,57,2,5,0,1,3,7
9396,4,5,3,2,57,2,5,0,1,3,7
17,4,5,3,2,57,2,5,0,1,3,7
18,2,6,2,1,49,2,4,1,3,3,8
7283,2,4,3,2,48,4,8,1,1,4,6
19,2,4,3,2,48,4,8,1,1,4,6
20,4,5,4,1,33,2,5,2,1,8,5
21,3,3,4,1,53,2,4,0,3,4,7
22,4,5,2,1,73,7,2,0,2,6,4
23,5,4,3,2,42,2,2,2,2,4,8
9148,5,4,3,2,42,2,2,2,2,4,8
24,4,4,2,1,37,2,4,0,2,4,3
25,5,4,4,1,34,2,5,2,2,6,5
26,1,5,2,1,40,2,4,0,2,6,3
7284,5,4,1,2,87,7,2,0,5,2,2
27,4,6,4,1,44,1,5,2,2,6,8
