person_id,travel_date_dow,trip_duration,d_purpose,d_purpose_category,mode_type
1900023501,4,11.1,10,2,6
1900023501,6,9.1,1,1,7
1900023501,7,17.9,50,7,7
1900023501,7,23.4,50,7,7
1900023501,1,13.7,50,7,2
1900023501,1,10.3,50,7,2
1900023501,1,4.1,33,6,9
1900023501,2,3.0,50,7,2
1900023501,3,16.5,50,7,2
1900023501,3,11.8,50,7,2
1900023501,3,6.4,33,6,9
1900023501,3,10.4,40,5,7
1900158301,1,402.9,10,2,6
1900158301,1,14.6,33,6,6
1900158301,1,2.4,33,6,9
1900158301,2,65.5,10,2,6
1900158301,2,34.1,33,6,6
1900158301,2,8.0,60,10,9
1900158301,2,60.0,1,1,6
1900158301,3,80.0,10,2,6
1900158301,3,82.0,1,1,6
1900158301,4,29.9,51,8,9
1900158301,4,9.3,1,1,9
1900158301,4,8.0,60,10,9
1900158301,4,37.1,60,10,6
1900158301,4,3.8,24,4,9
1900158301,4,370.5,60,10,9
1900158301,5,15.0,1,1,6
1900158301,5,77.0,10,2,6
1900158301,5,104.2,63,8,4
1900158301,5,18.8,50,7,7
1900158301,5,12.7,1,1,7
1900158301,6,7.2,33,6,9
1900158301,6,5.9,1,1,9
1900158301,6,34.6,60,10,9
1900158301,6,1.6,60,10,6
1900169401,5,4.9,33,6,7
1900169401,5,6.5,1,1,7
1900169401,5,13.3,33,6,7
1900169401,5,19.7,50,7,7
1900169401,5,22.5,50,7,7
1900169401,6,5.2,33,6,7
1900169401,6,5.4,33,6,7
1900169401,6,0.1,33,6,7
1900169401,6,6.7,33,6,7
1900169401,6,8.0,33,6,7
1900169401,6,6.2,33,6,7
1900169401,1,9.9,33,6,7
1900169401,1,4.6,1,1,7
1900169401,1,9.2,33,6,7
1900169401,1,3.0,1,1,7
1900169401,4,3.7,33,6,7
1900169401,4,8.0,1,1,7
1900230101,1,45.0,10,2,2
1900230101,1,100.0,1,1,4
1900230101,2,35.0,10,2,2
1900230101,2,55.0,33,6,3
1900230101,2,105.0,22,4,6
1900230101,2,75.0,1,1,6
1900230101,3,45.0,10,2,2
1900230101,3,120.0,1,1,4
1900230101,4,57.0,10,2,2
1900230101,4,155.0,22,4,6
1900230101,4,75.0,1,1,6
1900230101,5,60.0,10,2,3
1900230101,5,90.0,1,1,4
1900230101,5,30.0,33,6,6
1900444201,7,11.4,63,8,9
1900230101,5,20.0,33,6,9
1900230101,5,40.0,1,1,4
1900296201,2,9.3,33,6,9
1900296201,2,3.6,33,6,9
1900296201,2,0.0,33,6,9
1900296201,2,4.3,50,7,9
1900296201,2,6.9,1,1,9
1900296201,3,2.4,50,7,9
1900296201,3,2.7,1,1,9
1900296201,4,0.1,33,6,9
1900296201,4,4.8,33,6,9
1900296201,4,5.8,33,6,9
1900296201,4,8.6,1,1,9
1900296201,6,16.1,50,7,9
1900296201,6,0.5,33,6,9
1900296201,6,4.1,50,7,9
1900296201,6,16.8,1,1,9
1900296201,1,2.2,60,10,6
1900296201,1,29.0,60,10,6
1900296201,1,2.8,60,10,9
1900296201,1,3.3,63,8,6
1900296201,1,8.1,60,10,6
1900296201,1,3.1,63,8,9
1900296201,1,7.1,63,8,9
1900296201,1,2.8,60,10,6
1900296201,1,2.1,1,1,6
1900296201,1,13.8,1,1,6
1900330701,1,5.0,63,8,9
1900330701,1,15.0,50,7,9
1900330701,1,5.0,1,1,9
1900422601,2,19.4,10,2,7
1900422601,2,6.1,50,7,9
1900422601,2,1.1,50,7,9
1900422601,2,14.3,1,1,7
1900422601,2,11.4,1,1,7
1900422601,2,8.7,13,3,7
1900422601,2,8.1,1,1,7
1900422601,3,17.9,10,2,7
1900422601,3,3.0,51,8,9
1900422601,3,12.0,1,1,7
1900422601,3,8.7,13,3,7
1900422601,3,18.9,33,6,7
1900422601,3,16.4,1,1,7
1900422601,3,6.1,50,7,7
1900422601,4,3.0,50,7,7
1900422601,4,4.3,33,6,7
1900422601,4,3.1,33,6,7
1900422601,4,6.7,1,1,7
1900422601,4,5.7,1,1,7
1900422601,4,3.0,50,7,7
1900422601,4,6.5,100,5,7
1900422601,4,7.5,50,7,7
1900422601,4,6.3,1,1,7
1900422601,4,10.5,33,6,7
1900422601,4,38.2,1,1,7
1900422601,4,17.1,1,1,7
1900422601,5,25.6,10,2,7
1900422601,5,4.8,50,7,7
1900422601,5,23.6,1,1,7
1900422601,5,3.0,50,7,7
1900422601,5,12.6,33,6,7
1900422601,5,14.8,33,6,7
1900422601,5,3.0,1,1,7
1900422601,6,3.0,33,6,7
1900422601,6,5.3,50,7,7
1900422601,6,3.0,1,1,7
1900444201,7,3.0,63,8,9
1900422601,6,15.3,33,6,7
1900422601,6,13.5,33,6,7
1900422601,6,6.7,33,6,7
1900422601,6,19.4,1,1,7
1900422601,6,3.0,33,6,7
1900422601,6,5.8,100,5,7
1900422601,6,65.4,63,8,7
1900422601,6,51.1,1,1,7
1900422601,7,15.7,63,8,7
1900422601,7,13.7,33,6,7
1900422601,7,9.7,33,6,7
1900422601,7,3.9,33,6,7
1900422601,7,4.4,33,6,7
1900422601,7,6.4,1,1,7
1900422601,1,10.0,33,6,7
1901804901,3,0.4,11,3,9
1900422601,1,40.4,50,7,7
1900422601,1,4.0,1,1,7
1900422601,1,14.6,10,2,7
1900422601,1,13.8,1,1,7
1900422601,1,7.7,33,6,7
1900422601,1,5.6,1,1,7
1900422601,1,4.8,33,6,7
1900422601,1,31.7,43,5,7
1900422601,1,23.6,1,1,7
1900444201,5,84.6,10,2,7
1900444201,5,44.6,1,1,7
1900444201,5,16.9,63,8,7
1900444201,5,7.9,1,1,7
1900444201,6,26.8,42,5,7
1900444201,6,14.2,42,5,7
1900444201,6,9.4,33,6,7
1900444201,6,5.0,1,1,7
1900444201,6,8.4,33,6,7
1900444201,6,29.3,33,6,7
1900444201,6,11.3,33,6,7
1900444201,6,2.2,50,7,9
1900444201,6,6.1,50,7,7
1900444201,6,6.8,33,6,7
1900444201,6,6.5,1,1,7
1900444201,6,5.2,33,6,7
1900444201,6,3.2,1,1,7
1900444201,7,112.8,63,8,7
1900444201,7,29.0,63,8,7
1900444201,7,10.1,50,7,7
1900444201,7,3.6,50,7,7
1900444201,7,76.1,1,1,7
1900444201,1,71.9,10,2,7
1900444201,1,54.4,50,7,7
1900444201,1,25.6,1,1,7
1900444201,2,13.3,1,1,7
1900444201,2,32.8,10,2,7
1900444201,2,53.9,1,1,7
1900444201,2,2.3,33,6,7
1900444201,2,4.7,1,1,7
1900444201,3,6.7,42,5,7
1900444201,3,11.2,42,5,7
1900444201,3,27.5,10,2,7
1900444201,3,33.1,33,6,7
1900444201,3,27.0,1,1,7
1900444201,3,1.7,33,6,7
1900444201,3,18.7,63,8,7
1900444201,3,20.5,1,1,7
1900444201,4,24.9,10,2,7
1900444201,4,31.3,1,1,7
1900444201,4,8.4,33,6,7
1900444201,4,9.8,33,6,7
1900444201,4,3.7,1,1,7
1900447401,2,7.8,51,8,10
1900447401,2,14.6,1,1,9
1900447401,2,24.1,10,2,8
1900447401,2,15.9,50,7,6
1900447401,2,15.0,10,2,6
1900447401,2,38.7,33,6,9
1900447401,2,5.4,1,1,9
1900447401,2,15.7,33,6,9
1900447401,2,15.0,1,1,9
1900447401,3,1.9,51,8,9
1900447401,3,6.0,1,1,9
1900447401,3,43.1,10,2,9
1900447401,3,41.5,11,3,7
1900447401,3,6.7,50,7,7
1900447401,3,29.3,10,2,7
1900447401,3,29.2,33,6,9
1900447401,3,9.7,50,7,9
1900447401,4,99.3,51,8,10
1900447401,4,36.4,10,2,9
1900447401,4,36.5,11,3,7
1900447401,4,7.0,50,7,7
1900447401,4,34.1,10,2,7
1900447401,4,11.1,50,7,6
1900447401,4,27.7,1,1,9
1900447401,4,5.3,60,10,9
1900447401,4,33.7,60,10,6
1900447401,4,15.2,44,5,9
1900447401,4,15.1,63,8,9
1900447401,4,6.2,60,10,9
1900447401,4,26.2,60,10,6
1900447401,4,23.3,60,10,6
1900447401,5,3.0,1,1,9
1900447401,5,3.6,60,10,6
1900447401,5,28.7,60,10,6
1900447401,5,6.8,63,8,9
1900447401,5,29.3,51,8,9
1900447401,5,29.9,63,8,4
1900447401,5,80.6,63,8,5
1900447401,5,34.7,50,7,9
1900447401,5,37.7,60,10,6
1900447401,5,6.8,63,8,9
1900447401,5,7.6,50,7,9
1900447401,5,5.8,63,8,9
1900447401,5,15.5,63,8,9
1900447401,5,18.3,63,8,9
1900447401,5,2.5,60,10,9
1900447401,5,15.2,60,10,6
1900447401,5,21.7,60,10,6
1900447401,6,3.0,1,1,9
1900447401,6,18.9,60,10,6
